date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:53	180429/180429	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/breath_air.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/breath_air.jpg	(from https://kchang.me/library)
17:43:55	46835/46835	---M--	200	added ('OK')	image/gif	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/design.gif	C:/My%20Web%20Sites/yash/kchang.me/media/library/design.gif	(from https://kchang.me/library)
17:43:56	21823/21823	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/pragmatic.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/pragmatic.jpg	(from https://kchang.me/library)
17:44:00	14450/14450	---M--	200	added ('OK')	text/html	date:Mon,%2010%20Sep%202018%2014:26:44%20GMT	https://kchang.me/library/harrison-bergeron	C:/My%20Web%20Sites/yash/kchang.me/library/harrison-bergeron.html	(from https://kchang.me/library)
17:44:01	14854/14854	---M--	200	added ('OK')	text/html	date:Mon,%2010%20Sep%202018%2014:26:44%20GMT	https://kchang.me/library/this-is-water	C:/My%20Web%20Sites/yash/kchang.me/library/this-is-water.html	(from https://kchang.me/library)
17:44:01	14422/14422	---M--	200	added ('OK')	text/html	date:Mon,%2010%20Sep%202018%2014:26:44%20GMT	https://kchang.me/library/there-will-come-soft-rains	C:/My%20Web%20Sites/yash/kchang.me/library/there-will-come-soft-rains.html	(from https://kchang.me/library)
17:44:05	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1547345480742	C:/My%20Web%20Sites/yash/kchang.me/css/main.min38f3.css	(from https://kchang.me/daydream)
17:44:06	2828/2828	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/case.min.css?v1547345480742	C:/My%20Web%20Sites/yash/kchang.me/css/case.min38f3.css	(from https://kchang.me/daydream)
17:44:09	13174/13174	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:32%20GMT	https://kchang.me/media/cases/daydream/page/logo.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/cases/daydream/page/logo.jpg	(from https://kchang.me/daydream)
17:44:11	94993/94993	---M--	200	added ('OK')	application/javascript	etag:%22fea26becff163da78dd1cdd52ecc6adc%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/yash/platform.twitter.com/widgets.js	(from https://kchang.me/daydream)
17:44:20	236796/236796	UR-M--	200	updated ('Partial%20Content')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/home/headshot.png	C:/My%20Web%20Sites/yash/kchang.me/media/home/headshot.png	(from https://kchang.me/)
17:44:23	1216584/1216584	UR-M--	200	updated ('Partial%20Content')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:32%20GMT	https://kchang.me/media/cases/daydream/moving_panels.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/daydream/moving_panels.mp4	(from https://kchang.me/)
17:44:23	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1547345482078	C:/My%20Web%20Sites/yash/kchang.me/css/main.min18cd.css	(from https://kchang.me/viewpure)
17:44:26	2828/2828	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/case.min.css?v1547345482078	C:/My%20Web%20Sites/yash/kchang.me/css/case.min18cd.css	(from https://kchang.me/viewpure)
